zebrafish_gene,human_gene,source_gene,marker_class,marker_subclass,mapping_direction,mapping_database,evidence_status,pathway_sources,n_external_sources,selection_rule,zfin_ids,zfin_evidence_codes,zfin_publications,source_urls,present_in_zfin_dump
birc5a,BIRC5,BIRC5,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-1,AA;CL,ZDB-PUB-040708-1;ZDB-PUB-050823-6;ZDB-PUB-090123-11;ZDB-PUB-090330-14;ZDB-PUB-090807-12;ZDB-PUB-130213-2;ZDB-PUB-130605-11,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,True
bub1,BUB1,BUB1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-081104-75,AA,ZDB-PUB-030905-1;ZDB-PUB-140513-246,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
bub3,BUB3,BUB3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041010-210,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
ccnb1,CCNB1,CCNB1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000406-10,AA;CL,ZDB-PUB-020723-5;ZDB-PUB-050823-6,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
ccnb2,CCNB2,CCNB2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030429-12,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-130117-4,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
cdc20,CDC20,CDC20,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-2044,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
cdk1,CDK1,CDK1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-010320-1,AA;CL,ZDB-PUB-050209-7,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
cenpf,CENPF,CENPF,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041111-205,AA;CL;FC,ZDB-PUB-030905-1;ZDB-PUB-170214-231,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
cenpk,CENPK,CENPK,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-090313-204,AA,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://zfin.org/downloads/human_orthos.txt,True
ckap2l,CKAP2L,CKAP2L,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-6690,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
ckap5,CKAP5,CKAP5,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051120-174,AA;CL,ZDB-PUB-050823-6;ZDB-PUB-150130-2,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
cks1b,CKS1B,CKS1B,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040801-112,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-200426-10,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
cks2,CKS2,CKS2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050208-508,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
ctcf,CTCF,CTCF,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040624-5,AA;CL;NT,ZDB-PUB-030905-1;ZDB-PUB-060508-3,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
dlgap5,DLGAP5,DLGAP5,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040912-160,AA,ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
ect2,ECT2,ECT2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040831-2,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-040708-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
g2e3,G2E3,G2E3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030616-400,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
gas2l3,GAS2L3,GAS2L3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2560,AA,ZDB-PUB-030905-1;ZDB-PUB-140819-3,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
gtse1,GTSE1,GTSE1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-493,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
hmgb2a,HMGB2,HMGB2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051120-126,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-100910-11;ZDB-PUB-130709-49,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
hmgb2b,HMGB2,HMGB2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040912-122,AA,ZDB-PUB-100910-11;ZDB-PUB-130709-49,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
hmmr,HMMR,HMMR,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-731,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
kif11,KIF11,KIF11,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;previous_reviewed_core_panel,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-020426-1,AA;CL;NT,ZDB-PUB-020521-9;ZDB-PUB-050209-7;ZDB-PUB-050823-6;ZDB-PUB-070523-31,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
kif20ba,KIF20B,KIF20B,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041111-213,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
kif20bb,KIF20B,KIF20B,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-9684,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
kif23,KIF23,KIF23,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-991019-4,AA;CL,ZDB-PUB-001019-5;ZDB-PUB-020220-10;ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
kif2c,KIF2C,KIF2C,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070912-298,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-200502-3,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
lbr,LBR,LBR,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030804-11,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-050823-6;ZDB-PUB-060616-40,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
mad2l1,MAD2L1,MAD2L1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030515-3,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
mki67,MKI67,MKI67,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;previous_reviewed_core_panel,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-9771,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
ncapd2,NCAPD2,NCAPD2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050506-59,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
ndc80,NDC80,NDC80,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-904,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-140513-246,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
nek2,NEK2,NEK2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-752,AA;CL,ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
plk1,PLK1,PLK1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-021115-7,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-040708-1;ZDB-PUB-050823-6;ZDB-PUB-201121-12,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
rangap1a,RANGAP1,RANGAP1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-060929-492,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
rangap1b,RANGAP1,RANGAP1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-1921,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
smc4,SMC4,SMC4,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-020419-21,AA;CL;NT,ZDB-PUB-020521-9;ZDB-PUB-050823-6;ZDB-PUB-090914-18,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
tacc3,TACC3,TACC3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-327,AA;CL,ZDB-PUB-050823-6;ZDB-PUB-200710-20,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
tmpoa,TMPO,TMPO,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-6003,AA;CL,ZDB-PUB-020723-5;ZDB-PUB-050823-6;ZDB-PUB-150115-13;ZDB-PUB-190816-7,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
tmpob,TMPO,TMPO,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-8,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-120706-19;ZDB-PUB-150115-13,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
top2a,TOP2A,TOP2A,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2453,AA;CL,ZDB-PUB-040708-1;ZDB-PUB-050823-6;ZDB-PUB-060207-14;ZDB-PUB-090116-21;ZDB-PUB-111129-29,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
tpx2,TPX2,TPX2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-9652,AA,ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
ttk,TTK,TTK,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030123-1,AA;CL,ZDB-PUB-030102-3;ZDB-PUB-030905-1;ZDB-PUB-070523-31,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,True
ube2c,UBE2C,UBE2C,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051030-48,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
atad2,ATAD2,ATAD2,proliferation,S_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-7003,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
blm,BLM,BLM,proliferation,S_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070702-5,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
casp8ap2,CASP8AP2,CASP8AP2,proliferation,S_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-8,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,True
