zebrafish_gene,human_gene,source_gene,marker_class,marker_subclass,mapping_direction,mapping_database,evidence_status,pathway_sources,n_external_sources,selection_rule,zfin_ids,zfin_evidence_codes,zfin_publications,source_urls,zebrafish_gene_database,adata_gene,present_in_adata,raw_count_detection_fraction,passes_detection_filter
anln,ANLN,ANLN,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-4486,AA,ZDB-PUB-030905-1;ZDB-PUB-140513-261,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,anln,anln,True,0.1831920383339501,True
anp32e,ANP32E,ANP32E,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-2448,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,anp32e,anp32e,True,0.600258016955398,True
aurka,AURKA,AURKA,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040801-161,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-100719-49;ZDB-PUB-130204-4,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,aurka,aurka,True,0.1756358274972375,True
aurkb,AURKB,AURKB,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-020419-40,AA;CL,ZDB-PUB-020723-5;ZDB-PUB-090629-17,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,aurkb,aurkb,True,0.2775525248802147,True
birc5a,BIRC5,BIRC5,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-1,AA;CL,ZDB-PUB-040708-1;ZDB-PUB-050823-6;ZDB-PUB-090123-11;ZDB-PUB-090330-14;ZDB-PUB-090807-12;ZDB-PUB-130213-2;ZDB-PUB-130605-11,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,birc5a,birc5a,True,0.22171028381865576,True
bub1,BUB1,BUB1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-081104-75,AA,ZDB-PUB-030905-1;ZDB-PUB-140513-246,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,bub1,bub1,True,0.04072981938813116,True
bub3,BUB3,BUB3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041010-210,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,bub3,bub3,True,0.363066715812767,True
ccnb1,CCNB1,CCNB1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000406-10,AA;CL,ZDB-PUB-020723-5;ZDB-PUB-050823-6,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,ccnb1,ccnb1,True,0.24788057500922134,True
ccnb2,CCNB2,CCNB2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030429-12,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-130117-4,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,ccnb2,ccnb2,True,0.07611500184297773,True
cdc20,CDC20,CDC20,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-2044,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,cdc20,cdc20,True,0.23405823811279586,True
cdk1,CDK1,CDK1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-010320-1,AA;CL,ZDB-PUB-050209-7,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,cdk1,cdk1,True,0.2644673792849319,True
cenpf,CENPF,CENPF,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041111-205,AA;CL;FC,ZDB-PUB-030905-1;ZDB-PUB-170214-231,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,cenpf,cenpf,True,0.28271286398821355,True
cenpk,CENPK,CENPK,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-090313-204,AA,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://zfin.org/downloads/human_orthos.txt,cenpk,cenpk,True,0.1879837817913776,True
ckap2l,CKAP2L,CKAP2L,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-6690,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,ckap2l,ckap2l,True,0.16826391448581057,True
ckap5,CKAP5,CKAP5,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051120-174,AA;CL,ZDB-PUB-050823-6;ZDB-PUB-150130-2,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,ckap5,ckap5,True,0.2816070770364995,True
cks1b,CKS1B,CKS1B,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040801-112,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-200426-10,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,cks1b,cks1b,True,0.3112790269074929,True
cks2,CKS2,CKS2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050208-508,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,cks2,CKS2,True,0.3123848138592069,True
ctcf,CTCF,CTCF,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040624-5,AA;CL;NT,ZDB-PUB-030905-1;ZDB-PUB-060508-3,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,ctcf,ctcf,True,0.4806487283450264,True
dlgap5,DLGAP5,DLGAP5,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040912-160,AA,ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,dlgap5,dlgap5,True,0.3322889789900596,True
ect2,ECT2,ECT2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040831-2,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-040708-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,ect2,ect2,True,0.10320678215996963,True
g2e3,G2E3,G2E3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030616-400,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,g2e3,g2e3,True,0.15683744931809884,True
gas2l3,GAS2L3,GAS2L3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-2560,AA,ZDB-PUB-030905-1;ZDB-PUB-140819-3,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,gas2l3,gas2l3,True,0.016218208625138203,True
gtse1,GTSE1,GTSE1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-493,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,gtse1,gtse1,True,0.14448949502395875,True
hmgb2a,HMGB2,HMGB2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-051120-126,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-100910-11;ZDB-PUB-130709-49,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,hmgb2a,hmgb2a,True,0.8796535200883943,True
hmgb2b,HMGB2,HMGB2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040912-122,AA,ZDB-PUB-100910-11;ZDB-PUB-130709-49,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,hmgb2b,hmgb2b,True,0.6798746774787848,True
hmmr,HMMR,HMMR,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-731,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,hmmr,hmmr,True,0.15794323626981288,True
kif11,KIF11,KIF11,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;previous_reviewed_core_panel,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-020426-1,AA;CL;NT,ZDB-PUB-020521-9;ZDB-PUB-050209-7;ZDB-PUB-050823-6;ZDB-PUB-070523-31,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,kif11,kif11,True,0.22465904902322653,True
kif20ba,KIF20B,KIF20B,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-041111-213,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,kif20ba,kif20ba,True,0.10099520825654172,True
kif20bb,KIF20B,KIF20B,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-9684,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,kif20bb,kif20bb,True,0.1489126428308149,True
kif23,KIF23,KIF23,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-991019-4,AA;CL,ZDB-PUB-001019-5;ZDB-PUB-020220-10;ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,kif23,kif23,True,0.15591596019167048,True
kif2c,KIF2C,KIF2C,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070912-298,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-200502-3,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,kif2c,kif2c,True,0.15757464061924153,True
lbr,LBR,LBR,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030804-11,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-050823-6;ZDB-PUB-060616-40,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,lbr,lbr,True,0.5622926649465608,True
mad2l1,MAD2L1,MAD2L1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030515-3,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,mad2l1,mad2l1,True,0.28418724659049893,True
mki67,MKI67,MKI67,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;previous_reviewed_core_panel,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-9771,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,mki67,mki67,True,0.4321784002948944,True
ncapd2,NCAPD2,NCAPD2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050506-59,AA,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,ncapd2,ncapd2,True,0.3131220051603496,True
ndc80,NDC80,NDC80,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-904,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-140513-246,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,ndc80,ndc80,True,0.1660523405823825,True
nek2,NEK2,NEK2,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-752,AA;CL,ZDB-PUB-050823-6,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,nek2,nek2,True,0.07611500184297773,True
plk1,PLK1,PLK1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-021115-7,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-040708-1;ZDB-PUB-050823-6;ZDB-PUB-201121-12,https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://www.kegg.jp/pathway/hsa04110;https://zfin.org/downloads/human_orthos.txt,plk1,plk1,True,0.23332104681165317,True
rangap1a,RANGAP1,RANGAP1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-060929-492,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,rangap1a,rangap1a,True,0.3704386288241939,True
rangap1b,RANGAP1,RANGAP1,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040426-1921,AA;CL,ZDB-PUB-030905-1,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,rangap1b,rangap1b,True,0.33136748986363124,True
smc4,SMC4,SMC4,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-020419-21,AA;CL;NT,ZDB-PUB-020521-9;ZDB-PUB-050823-6;ZDB-PUB-090914-18,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,smc4,smc4,True,0.3650939918909094,True
tacc3,TACC3,TACC3,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016,1,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-327,AA;CL,ZDB-PUB-050823-6;ZDB-PUB-200710-20,https://doi.org/10.1126/science.aad0501;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,tacc3,tacc3,True,0.238481385919652,True
tmpoa,TMPO,TMPO,proliferation,G2M_phase,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,core_or_Seurat_phase_marker+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030131-6003,AA;CL,ZDB-PUB-020723-5;ZDB-PUB-050823-6;ZDB-PUB-150115-13;ZDB-PUB-190816-7,https://doi.org/10.1126/science.aad0501;https://reactome.org/content/detail/R-HSA-69278;https://reactome.org/content/detail/R-HSA-69306;https://satijalab.org/seurat/reference/cc.genes.updated.2019.html;https://zfin.org/downloads/human_orthos.txt,tmpoa,tmpoa,True,0.21138960560265807,True
